Customer_Code,Family_Code,Channel,Product_Group,Postdate,Material_Code,Sale_Value
100000001,100000001,Agent,Disinfectants,20/2/2019 0:00,Q000011283,18000
100000001,100000001,Agent,Injection,24/1/2019 0:00,C000000293,15000
100000001,100000001,Agent,Injection,23/5/2019 0:00,C000000293,5000
100000002,100000002,Integrate,Vaccines,7/2/2019 0:00,C000000298,27500
100000002,100000002,Integrate,Vaccines,7/2/2019 0:00,C000000324,0
100000002,100000002,Integrate,Vaccines,7/2/2019 0:00,C000000647,0
100000002,100000002,Integrate,Vaccines,7/2/2019 0:00,C000001240,35500
100000002,100000002,Integrate,Vaccines,26/3/2019 0:00,C000000647,0
100000002,100000002,Integrate,Vaccines,26/3/2019 0:00,C000001201,13600
100000002,100000002,Integrate,Vaccines,26/3/2019 0:00,C000001240,42600
100000002,100000002,Integrate,Vaccines,25/4/2019 0:00,C000000291,0
100000002,100000002,Integrate,Vaccines,25/4/2019 0:00,C000000298,27500
100000002,100000002,Integrate,Vaccines,25/4/2019 0:00,C000000324,0
100000002,100000002,Integrate,Vaccines,25/4/2019 0:00,C000001201,17000
100000002,100000002,Integrate,Vaccines,28/5/2019 0:00,C000000647,0
100000002,100000002,Integrate,Vaccines,28/5/2019 0:00,C000001240,35500
100000002,100000002,Integrate,Vaccines,25/6/2019 0:00,C000000291,0
100000002,100000002,Integrate,Vaccines,25/6/2019 0:00,C000000647,0
100000002,100000002,Integrate,Vaccines,25/6/2019 0:00,C000001201,34000
100000002,100000002,Integrate,Vaccines,25/6/2019 0:00,C000001240,35500
100000002,100000002,Integrate,Vaccines,27/6/2019 0:00,C000000142,1200
100000002,100000002,Integrate,Vaccines,27/6/2019 0:00,C000000343,0
100000003,100000566,Integrate,Antibiotic,25/4/2019 0:00,C000000841,7488
100000003,100000566,Integrate,Antibiotic,18/6/2019 0:00,C000000841,2288
100000003,100000566,Integrate,Others Animal Health,12/1/2019 0:00,Q000011417,16680
100000003,100000566,Integrate,Others Animal Health,17/1/2019 0:00,Q000011417,6950
100000003,100000566,Integrate,Others Animal Health,18/1/2019 0:00,Q000011416,3600
100000003,100000566,Integrate,Others Animal Health,18/1/2019 0:00,Q000011417,83400
