Customer_Code,Family_Code,Channel,Product_Group,Postdate,Material Code,Sale_Value
100000001,100000001,Agent,Disinfectants,20/2/2018 0:00,Q000011283,3600
100000001,100000001,Agent,Disinfectants,8/3/2018 0:00,Q000011283,18000
100000001,100000001,Agent,Disinfectants,18/6/2018 0:00,Q000011283,18000
100000001,100000001,Agent,Injection,20/2/2018 0:00,C000000293,6000
100000001,100000001,Agent,Injection,27/4/2018 0:00,C000000293,5000
100000001,100000001,Agent,Injection,8/5/2018 0:00,C000000293,7500
100000002,100000002,Integrate,Vaccines,1/2/2018 0:00,C000000252,21600
100000002,100000002,Integrate,Vaccines,1/2/2018 0:00,C000000296,21600
100000002,100000002,Integrate,Vaccines,1/2/2018 0:00,C000000647,0
100000002,100000002,Integrate,Vaccines,28/3/2018 0:00,C000000252,18000
100000002,100000002,Integrate,Vaccines,28/3/2018 0:00,C000000296,18000
100000002,100000002,Integrate,Vaccines,28/3/2018 0:00,C000000647,0
100000002,100000002,Integrate,Vaccines,2/5/2018 0:00,C000000298,27500
100000002,100000002,Integrate,Vaccines,2/5/2018 0:00,C000000324,0
100000002,100000002,Integrate,Vaccines,11/5/2018 0:00,C000000252,18000
100000002,100000002,Integrate,Vaccines,11/5/2018 0:00,C000000296,18000
100000002,100000002,Integrate,Vaccines,11/5/2018 0:00,C000000647,0
100000002,100000002,Integrate,Vaccines,23/5/2018 0:00,C000000252,18000
100000002,100000002,Integrate,Vaccines,23/5/2018 0:00,C000000296,18000
100000002,100000002,Integrate,Vaccines,23/5/2018 0:00,C000000647,0
100000003,100000566,Integrate,Antibiotic,2/5/2018 0:00,C000000841,10080
100000003,100000566,Integrate,Antibiotic,5/6/2018 0:00,C000000841,4200
100000003,100000566,Integrate,Others Animal Health,10/1/2018 0:00,Q000011421,30600
100000003,100000566,Integrate,Others Animal Health,10/1/2018 0:00,Q000011509,34200
100000003,100000566,Integrate,Others Animal Health,11/1/2018 0:00,Q000011416,7200
100000003,100000566,Integrate,Others Animal Health,12/1/2018 0:00,Q000011416,12600
100000003,100000566,Integrate,Others Animal Health,12/1/2018 0:00,Q000011417,58380
100000003,100000566,Integrate,Others Animal Health,15/1/2018 0:00,Q000011416,10800
100000003,100000566,Integrate,Others Animal Health,15/1/2018 0:00,Q000011417,20850
100000003,100000566,Integrate,Others Animal Health,20/1/2018 0:00,Q000011417,25020
100000003,100000566,Integrate,Others Animal Health,1/2/2018 0:00,Q000011414,9360
100000003,100000566,Integrate,Others Animal Health,1/2/2018 0:00,Q000011416,3600
100000003,100000566,Integrate,Others Animal Health,1/2/2018 0:00,Q000011417,20850
100000003,100000566,Integrate,Others Animal Health,6/2/2018 0:00,Q000011417,16680
100000003,100000566,Integrate,Others Animal Health,7/2/2018 0:00,Q000011421,15300
100000003,100000566,Integrate,Others Animal Health,8/2/2018 0:00,Q000011417,33360
100000003,100000566,Integrate,Others Animal Health,10/2/2018 0:00,Q000011416,7200
100000003,100000566,Integrate,Others Animal Health,10/2/2018 0:00,Q000011509,19000
100000003,100000566,Integrate,Others Animal Health,15/2/2018 0:00,Q000011417,16680
100000003,100000566,Integrate,Others Animal Health,22/2/2018 0:00,Q000011417,16680
100000003,100000566,Integrate,Others Animal Health,27/2/2018 0:00,Q000011417,8340
100000003,100000566,Integrate,Others Animal Health,2/3/2018 0:00,Q000011417,10425
100000003,100000566,Integrate,Others Animal Health,8/3/2018 0:00,Q000011416,7200
100000003,100000566,Integrate,Others Animal Health,8/3/2018 0:00,Q000011417,25020
100000003,100000566,Integrate,Others Animal Health,15/3/2018 0:00,Q000011417,8340
100000003,100000566,Integrate,Others Animal Health,20/3/2018 0:00,Q000011417,4170
100000003,100000566,Integrate,Others Animal Health,20/3/2018 0:00,Q000011421,30600
100000003,100000566,Integrate,Others Animal Health,20/3/2018 0:00,Q000011509,15200
100000003,100000566,Integrate,Others Animal Health,26/3/2018 0:00,Q000011417,4170
100000003,100000566,Integrate,Others Animal Health,29/3/2018 0:00,Q000011417,8340
100000003,100000566,Integrate,Others Animal Health,2/4/2018 0:00,Q000011416,7200
100000003,100000566,Integrate,Others Animal Health,2/4/2018 0:00,Q000011417,22240
100000003,100000566,Integrate,Others Animal Health,2/4/2018 0:00,Q000011509,15200
100000003,100000566,Integrate,Others Animal Health,3/4/2018 0:00,Q000011417,8340
100000003,100000566,Integrate,Others Animal Health,5/4/2018 0:00,Q000011417,16680
100000003,100000566,Integrate,Others Animal Health,7/4/2018 0:00,Q000011417,16680
100000003,100000566,Integrate,Others Animal Health,11/4/2018 0:00,Q000011417,20850
